"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
2723804,"TBM2014100407","2014-09-30 20:00:00",20,"2018-04-12 07:04:07",0,0,0,0,0,1
2724017,"TBM2014040906","2014-04-02 20:00:00",160,"2018-04-12 07:03:34",0,0,0,0,1,0
2724074,"TBM2014050807","2014-05-14 20:00:00",160,"2018-04-12 07:03:34",0,6,0,0,0,0
2724156,"TBM2014060206","2014-06-08 20:00:00",300,"2018-04-12 07:03:34",0,0,0,7,0,0
2724261,"TBM2014120802","2014-12-10 19:00:00",160,"2018-04-12 07:04:10",0,127,0,0,0,0
2724331,"TBM2015010806","2015-01-12 19:00:00",160,"2018-04-12 07:04:10",0,0,0,0,1,0
2724523,"TBM2015011307","2015-01-06 19:00:00",20,"2018-04-12 07:04:07",0,0,0,11,0,0
2724594,"TBM2014040103","2014-03-31 20:00:00",20,"2018-04-12 07:01:57",0,0,0,2,0,0
2725118,"TBM2014021106","2014-02-19 19:00:00",20,"2018-04-12 07:02:08",0,0,0,607,0,0
2725173,"TBM2014030905","2014-03-23 20:00:00",300,"2018-04-12 07:02:08",0,0,0,11,0,0
2725322,"TBM2014061104","2014-06-15 20:00:00",160,"2018-04-12 07:03:39",0,0,0,139,0,0
2725324,"TBM2014061105","2014-06-15 20:00:00",160,"2018-04-12 07:03:39",0,0,0,474,0,0
2725545,"TBM2014050903","2014-05-07 20:00:00",20,"2018-04-12 07:03:36",0,0,0,12,0,0
2725571,"TBM2014051301","2014-05-12 20:00:00",160,"2018-04-12 07:03:51",0,1,0,0,0,0
2725983,"TBM2014071104","2014-07-23 20:00:00",300,"2018-04-12 07:03:42",0,0,0,0,0,33
2725990,"TBM2014071201","2014-07-16 20:00:00",160,"2018-04-12 07:03:42",0,0,0,0,1,0
2726107,"TBM2014061305","2014-06-11 20:00:00",160,"2018-04-12 07:03:51",0,0,0,4,0,0
